date,prec,et,temp,tm
2009-04-07,0.95,1.611823375,29.85546843,28.87381256
2009-04-08,24.18,1.407055837,27.36478077,28.87381256
2009-04-09,0.27,0.780035905,27.01758713,28.87381256
2009-04-10,4.62,1.700772699,28.79901813,28.87381256
2009-04-11,29.16,1.364238264,29.00342217,28.87381256
2009-04-12,25.3,1.649589121,28.41333325,28.87381256
2009-04-13,0.29,1.493992388,29.68627186,28.87381256
2009-04-14,1.32,1.418972406,28.66040348,28.87381256
2009-04-15,15.28,1.355691618,28.03362206,28.87381256
2009-04-16,0.04,1.990409315,30.11788593,28.87381256
2009-04-17,0.06,1.674667565,29.34099227,28.87381256
2009-04-18,0.05,1.458928278,29.71125003,28.87381256
2009-04-19,0.37,1.604604848,29.95985057,28.87381256
2009-04-20,0.02,1.714610808,30.02143313,28.87381256
2009-04-21,2.16,1.691089345,29.57882,28.87381256
2009-04-22,0,0.928698624,29.67118628,28.87381256
2009-04-23,0.22,1.715466722,29.55250202,28.87381256
2009-04-24,17.84,1.803100559,28.92446336,28.87381256
2009-04-25,0.15,1.763863969,29.44656709,28.87381256
2009-04-26,0.38,1.37546222,30.11160587,28.87381256
2009-04-27,0.03,1.357124098,29.08016507,28.87381256
2009-04-28,0.15,1.732482366,30.53779806,28.87381256
2009-04-29,0.89,1.700574282,28.40448191,28.87381256
2009-04-30,20.86,0.820361954,27.92147214,28.87381256
2009-05-01,0.11,1.262803319,27.91601273,28.87381256
2009-05-02,29.62,1.51018486,28.45654921,28.87381256
2009-05-03,33.61,1.454436148,27.79236384,28.87381256
2009-05-04,2.87,1.529014399,27.25362362,28.87381256
2009-05-05,0.81,1.58992817,28.10985083,28.87381256
2009-05-06,5.89,1.624622543,28.73511364,28.87381256
2009-05-07,10.24,1.714648693,28.14476442,28.87381256
2009-05-08,5.31,1.721309422,27.68177776,28.87381256
2009-05-09,0.22,1.459853468,28.92510348,28.87381256
2009-05-10,0.1,1.807894514,30.2497909,28.87381256
2009-05-11,0.93,2.191454528,30.62250047,28.87381256
2009-05-12,1.24,1.614610651,29.8468904,28.87381256
2009-05-13,13.85,1.594461919,28.59250686,28.87381256
2009-05-14,0.1,1.338477093,29.02618753,28.87381256
2009-05-15,0.09,1.619427997,29.74936532,28.87381256
2009-05-16,1.12,1.527703579,28.5973472,28.87381256
2009-05-17,6.31,1.60994399,29.36878897,28.87381256
2009-05-18,0.7,1.583642283,29.16118648,28.87381256
2009-05-19,0.53,1.658198982,28.67578637,28.87381256
2009-05-20,0,1.46390568,29.25435994,28.87381256
2009-05-21,0,1.463879011,28.29404083,28.87381256
2009-05-22,0,1.501502484,28.22966833,28.87381256
2009-05-23,0,1.739404704,29.07883696,28.87381256
2009-05-24,0.02,1.503328539,29.60263235,28.87381256
2009-05-25,5.24,1.652126987,28.72925883,28.87381256
2009-05-26,0.08,1.557840842,29.84341962,28.87381256
2009-05-27,0.06,1.687384376,30.61702156,28.87381256
2009-05-28,5.74,1.587783874,30.00346657,28.87381256
2009-05-29,0.99,1.77989874,27.55850303,28.87381256
2009-05-30,5.14,0.653868837,28.77322274,28.87381256
2009-05-31,0.39,1.683720096,29.16553887,28.87381256
2009-06-01,0.01,1.564585344,30.78080655,28.87381256
2009-06-02,0,2.082737907,31.59898349,28.87381256
2009-06-03,0,1.735492868,30.93247435,28.87381256
2009-06-04,0,1.553291172,30.60945558,28.87381256
2009-06-05,2.1,1.067387825,28.75898507,28.87381256
2009-06-06,0.21,1.27688523,28.2487656,28.87381256
2009-06-07,0.49,1.196147948,27.81491702,28.87381256
2009-06-08,22.36,1.315944456,29.26528978,28.87381256
2009-06-09,0.33,1.146609783,29.58384302,28.87381256
2009-06-10,5.9,1.596729729,28.47709441,28.87381256
2009-06-11,20.85,1.274254728,28.53073463,28.87381256
2009-06-12,20.79,1.874317325,29.27548044,28.87381256
2009-06-13,2.37,1.02030373,28.09766658,28.87381256
2009-06-14,0.01,1.423799587,27.62609094,28.87381256
2009-06-15,4.4,1.616432041,29.01798441,28.87381256
2009-06-16,8.82,1.421368444,28.49505077,28.87381256
2009-06-17,0.04,0.967367563,29.720771,28.87381256
2009-06-18,0.07,1.477494804,30.11450474,28.87381256
2009-06-19,0.09,1.452487983,30.62442591,28.87381256
2009-06-20,4.37,1.46037808,30.11522216,28.87381256
2009-06-21,0.09,1.604153716,29.63369427,28.87381256
2009-06-22,34.21,1.370656106,27.17335266,28.87381256
2009-06-23,3.56,1.05889028,27.901959,28.87381256
2009-06-24,0.03,1.632332484,28.91337247,28.87381256
2009-06-25,3.3,1.535709747,28.35700511,28.87381256
2009-06-26,0,1.273289292,29.03366301,28.87381256
2009-06-27,0,1.395753721,28.47560229,28.87381256
2009-06-28,0,1.243451076,28.06264541,28.87381256
2009-06-29,0.15,1.692571439,28.21717048,28.87381256
2009-06-30,0.86,1.189608911,28.20142227,28.87381256
2009-07-01,5.4,1.398458163,28.53879179,28.87381256
2009-07-02,1.41,1.507640938,29.1466588,28.87381256
