prec,et,temp,tm
2009-01-01,0.0,0.0248749701495,28.3887324601,28.8738125623
2009-01-02,0.0,1.09058684312,28.5019148709,28.8738125623
2009-01-03,0.0,1.58107588666,29.338086439,28.8738125623
2009-01-04,0.0,1.21682600493,28.9070985344,28.8738125623
2009-01-05,4.9172549087,1.33591349473,29.7360670754,28.8738125623
2009-01-06,11.9642127337,1.21554746789,28.9486325082,28.8738125623
2009-01-07,14.9446529967,1.22264810894,27.9508707068,28.8738125623
2009-01-08,2.24775045373,1.04039162732,28.285558422,28.8738125623
2009-01-09,1.86360566,1.36482420128,27.7086573826,28.8738125623
2009-01-10,0.0,1.56910083267,28.0448668405,28.8738125623
2009-01-11,0.0,1.2986321168,29.179322382,28.8738125623
2009-01-12,0.0,1.33119863071,29.1220926006,28.8738125623
2009-01-13,0.755663068107,1.25676407707,29.2278720984,28.8738125623
2009-01-14,0.0,1.16382853235,28.6609023448,28.8738125623
2009-01-15,3.48810956719,1.29606759548,28.1014332075,28.8738125623
2009-01-16,0.0,0.984847897224,27.4732074095,28.8738125623
2009-01-17,6.89209915011,0.68923525395,27.4162275764,28.8738125623
2009-01-18,4.89681448561,0.985843761583,26.6981121235,28.8738125623
2009-01-19,12.8685822219,1.44715212168,27.413871808,28.8738125623
2009-01-20,10.8355056088,1.00697339987,27.0791161141,28.8738125623
2009-01-21,0.0,1.26555457812,28.7257829945,28.8738125623
2009-01-22,1.36637034041,1.07868900326,28.0822242994,28.8738125623
2009-01-23,31.2410675863,1.01256994652,28.7358092619,28.8738125623
2009-01-24,0.0,1.27045475767,27.8932030496,28.8738125623
2009-01-25,0.0,1.34649118413,28.5247210599,28.8738125623
2009-01-26,0.0,1.55919002683,29.1553365729,28.8738125623
2009-01-27,0.0,1.47524478864,29.3518596606,28.8738125623
2009-01-28,3.22694980428,1.31926802437,29.8841337783,28.8738125623
2009-01-29,0.61384169975,1.58075627852,29.3758472271,28.8738125623
2009-01-30,19.8163907983,1.36141358868,27.463932316,28.8738125623
2009-01-31,18.750026719,1.48776690076,27.7127636684,28.8738125623
2009-02-01,23.9307449427,1.00038288885,27.560364541,28.8738125623
2009-02-02,0.140594150243,1.36744626586,29.034148827,28.8738125623
2009-02-03,0.0,1.3958590111,30.0622509946,28.8738125623
2009-02-04,0.588568154346,1.69919187835,30.9459920947,28.8738125623
2009-02-05,0.0,1.58793831943,30.0988899188,28.8738125623
2009-02-06,0.501433415359,1.5945583006,29.8678341126,28.8738125623
2009-02-07,0.0,1.39185781425,29.1209626359,28.8738125623
2009-02-08,9.43004235257,1.35516562489,29.3546574625,28.8738125623
2009-02-09,0.0,1.28023454446,29.1024186852,28.8738125623
2009-02-10,13.9376680396,1.52502302106,29.789110398,28.8738125623
2009-02-11,2.27201787541,1.41990599873,29.2983130337,28.8738125623
2009-02-12,13.0930065734,1.40704087059,28.0651626373,28.8738125623
2009-02-13,5.47690197591,1.73590140798,27.9472809695,28.8738125623
2009-02-14,15.6659148677,1.28957909948,27.942705583,28.8738125623
2009-02-15,0.806737042545,1.10841256782,27.4980943873,28.8738125623
2009-02-16,0.45354438096,1.3972470238,27.2082370372,28.8738125623
2009-02-17,0.0,1.14146110851,28.5371244623,28.8738125623
2009-02-18,0.0,1.51540561071,29.801568985,28.8738125623
2009-02-19,8.02147421676,1.71920728148,29.7608056229,28.8738125623
2009-02-20,0.0,1.24499447292,28.1151696109,28.8738125623
2009-02-21,1.01581901379,1.35971012544,29.0584034223,28.8738125623
2009-02-22,1.85847107748,1.49817891201,29.8016053532,28.8738125623
2009-02-23,0.0,1.55516961987,28.9045447446,28.8738125623
2009-02-24,6.71493877454,1.85572270329,29.5177893049,28.8738125623
2009-02-25,0.251028478815,1.50999253252,28.493520651,28.8738125623
2009-02-26,0.206699395448,1.33938636673,27.8130498307,28.8738125623
2009-02-27,3.37580285447,1.47886924529,28.4336065871,28.8738125623
2009-02-28,2.76013198595,1.5517739754,28.2497191054,28.8738125623
2009-03-01,9.37135357803,1.6517179615,29.9464805474,28.8738125623
2009-03-02,6.2669227793,1.52376649085,29.5168561614,28.8738125623
2009-03-03,5.74744834257,1.33279959405,28.2881467798,28.8738125623
2009-03-04,0.0,1.20669756177,27.8514565671,28.8738125623
2009-03-05,4.91779961211,1.05124215464,29.5728500023,28.8738125623
2009-03-06,0.476274238544,1.63697901736,30.7981728329,28.8738125623
2009-03-07,6.41581026356,1.53813151697,29.7550647178,28.8738125623
2009-03-08,1.76158013505,1.80549894692,30.2315762338,28.8738125623
2009-03-09,11.7658123488,1.63603464539,29.1897755312,28.8738125623
2009-03-10,0.665255953757,1.7996773251,29.3852006291,28.8738125623
2009-03-11,0.0,1.734632259,29.5213455672,28.8738125623
2009-03-12,0.338530026125,1.47966244515,28.8436769421,28.8738125623
2009-03-13,8.37423971798,1.40465229951,28.3345349558,28.8738125623
2009-03-14,0.0,0.81842171878,27.848606774,28.8738125623
2009-03-15,5.63541170185,1.61470894867,29.0934337016,28.8738125623
2009-03-16,8.88029187985,1.50323541245,29.1588741045,28.8738125623
2009-03-17,14.4148560374,1.45741017347,28.2944948004,28.8738125623
2009-03-18,2.18328075195,1.23716380355,27.4572524381,28.8738125623
2009-03-19,8.73488585869,1.19109005473,27.9164824968,28.8738125623
2009-03-20,0.0,1.01319515303,27.1860529439,28.8738125623
2009-03-21,1.22044245581,1.59297278758,29.1686407154,28.8738125623
2009-03-22,1.46342408255,1.54617604111,27.9763727295,28.8738125623
2009-03-23,19.8575879965,1.36465993624,27.7725782287,28.8738125623
2009-03-24,0.067302098435,1.54743303074,27.7952649192,28.8738125623
2009-03-25,19.5596778741,1.39399926582,28.2338462144,28.8738125623
2009-03-26,1.32169240244,1.63831416275,28.6837416445,28.8738125623
2009-03-27,6.89914883389,1.28320993332,28.0124337271,28.8738125623
2009-03-28,13.7280120528,1.02917797378,27.6044195797,28.8738125623
2009-03-29,16.3749308211,1.31484751353,27.0587670616,28.8738125623
2009-03-30,0.0,1.53899540928,28.9790514399,28.8738125623
2009-03-31,12.2939367134,1.62081040961,28.4656495084,28.8738125623
2009-04-01,6.32694446907,1.3390358365,26.8479806064,28.8738125623
2009-04-02,25.740764918,1.32402547826,27.5619098578,28.8738125623
2009-04-03,0.636432395892,1.67067476203,28.4129996782,28.8738125623
2009-04-04,1.93925290161,1.40912336982,28.4115419495,28.8738125623
2009-04-05,0.0,1.58919814062,30.6821364071,28.8738125623
2009-04-06,0.0,1.66417224622,30.6938416342,28.8738125623
2009-04-07,0.0,1.61182337531,29.8554684285,28.8738125623
2009-04-08,27.4285653575,1.40705583738,27.3647807689,28.8738125623
2009-04-09,0.0,0.780035904954,27.017587126,28.8738125623
2009-04-10,10.2266596944,1.70077269935,28.7990181312,28.8738125623
2009-04-11,12.4967237323,1.36423826352,29.0034221692,28.8738125623
2009-04-12,13.3342429011,1.64958912067,28.4133332499,28.8738125623
2009-04-13,1.35170057382,1.49399238758,29.6862718604,28.8738125623
2009-04-14,1.67601100514,1.41897240649,28.6604034767,28.8738125623
2009-04-15,7.70692393485,1.35569161779,28.0336220559,28.8738125623
2009-04-16,1.95137405931,1.9904093153,30.1178859325,28.8738125623
2009-04-17,2.93882745571,1.67466756467,29.3409922739,28.8738125623
2009-04-18,1.03439072277,1.45892827832,29.7112500266,28.8738125623
2009-04-19,11.7012127169,1.60460484832,29.9598505684,28.8738125623
2009-04-20,0.300018932042,1.71461080835,30.0214331338,28.8738125623
2009-04-21,16.5350880355,1.69108934483,29.5788200036,28.8738125623
2009-04-22,0.164710695824,0.928698624118,29.6711862757,28.8738125623
2009-04-23,0.339938131611,1.71546672167,29.5525020214,28.8738125623
2009-04-24,8.83140049088,1.80310055915,28.9244633578,28.8738125623
2009-04-25,0.927158350355,1.76386396938,29.4465670854,28.8738125623
2009-04-26,0.0,1.37546221996,30.1116058693,28.8738125623
2009-04-27,3.04925185643,1.35712409823,29.0801650701,28.8738125623
2009-04-28,1.0809205516,1.73248236635,30.5377980564,28.8738125623
2009-04-29,1.33262215304,1.70057428151,28.4044819092,28.8738125623
2009-04-30,14.9390237251,0.820361953773,27.9214721423,28.8738125623
2009-05-01,0.0,1.2628033188,27.9160127318,28.8738125623
2009-05-02,29.5751802466,1.51018485996,28.4565492051,28.8738125623
2009-05-03,14.3337074666,1.45443614815,27.7923638419,28.8738125623
2009-05-04,0.66529934058,1.52901439854,27.2536236195,28.8738125623
2009-05-05,0.0,1.58992817027,28.1098508299,28.8738125623
2009-05-06,4.96501447913,1.62462254321,28.7351136368,28.8738125623
2009-05-07,3.55006385385,1.7146486928,28.144764418,28.8738125623
2009-05-08,4.3813431638,1.72130942211,27.6817777612,28.8738125623
2009-05-09,0.032520878181,1.45985346832,28.9251034769,28.8738125623
2009-05-10,2.19470514072,1.80789451385,30.2497908989,28.8738125623
