id,name,x,y,original area,area,area ratio,weight
1,Station 1,454795.6728,503143.3264,124.0659,64,1.938529688,0.06
2,Station 2,443847.5736,481850.7151,83.0025,96,0.864609375,0.08
3,station 3,454044.6935,481189.4256,44.8587,16,2.80366875,0.02
4,Station 4,464533.7067,502683.6482,91.4949,80,1.14368625,0.07
5,Station 5,463231.1242,486656.3455,730.1259,784,0.931283036,0.38
6,ExitPoint_coello basin,487292.5152,478045.572,1453.9185,1408,1.032612571,0.40
