Computed Discharge (Q)
Time Q_0 Q_1 Q_2 Q_3 Q_4 Q_5 Q_6 Q_7 Q_8 Q_9 Q_10 Q_11 Q_12 Q_13 Q_14 Q_15 Q_16 Q_17 Q_18 Q_19 Q_20 
 163 245.8 240.6 235.4 230.2 225.0 219.9 214.8 209.7 204.7 199.7 194.9 190.1 185.5 180.9 176.5 172.2 168.1 164.1 160.3 156.6 153.0 
 164 252.9 247.7 242.6 237.5 232.4 227.2 222.2 217.2 212.2 207.3 202.5 197.8 193.2 188.7 184.3 180.0 175.9 171.9 168.1 164.4 160.8 
 165 259.9 254.9 249.8 244.7 239.6 234.6 229.6 224.6 219.7 214.9 210.1 205.5 200.9 196.4 192.0 187.8 183.7 179.7 175.9 172.2 168.6 
 166 267.0 262.0 257.0 251.9 246.9 242.0 237.0 232.1 227.3 222.5 217.7 213.1 208.6 204.1 199.8 195.6 191.5 187.5 183.7 180.0 176.5 
 167 274.1 269.1 264.1 259.2 254.2 249.3 244.4 239.6 234.8 230.0 225.3 220.7 216.2 211.8 207.5 203.3 199.2 195.3 191.5 187.8 184.3 
 168 281.1 276.2 271.3 266.4 261.5 256.6 251.8 247.0 242.3 237.5 232.9 228.4 223.9 219.5 215.2 211.1 207.0 203.1 199.3 195.6 192.0 
 169 288.2 283.3 278.5 273.6 268.8 264.0 259.2 254.4 249.7 245.1 240.5 236.0 231.5 227.2 222.9 218.8 214.7 210.8 207.0 203.3 199.8 
 170 295.2 290.4 285.6 280.8 276.1 271.3 266.5 261.8 257.2 252.6 248.0 243.6 239.1 234.8 230.6 226.5 222.5 218.5 214.8 211.1 207.6 
 171 302.3 297.5 292.8 288.0 283.3 278.6 273.9 269.3 264.6 260.1 255.6 251.1 246.8 242.5 238.3 234.2 230.2 226.3 222.5 218.8 215.3 
 172 309.4 304.7 299.9 295.2 290.6 285.9 281.3 276.6 272.1 267.6 263.1 258.7 254.3 250.1 245.9 241.8 237.8 234.0 230.2 226.5 223.0 
