 Backwater Curve 
Point;Distance;Water_Depth;Geo_height;Piezo_height
0.0;0.0;6.0;0.10000000000000001;6.0
1.0;100.0;5.9050000000000002;0.20000000000000001;6.0049999999999999
2.0;200.0;5.8099999999999996;0.29999999999999999;6.0099999999999998
3.0;300.0;5.7149999999999999;0.40000000000000002;6.0149999999999997
4.0;400.0;5.6200000000000001;0.5;6.0199999999999996
5.0;500.0;5.5259999999999998;0.59999999999999998;6.0259999999999998
6.0;600.0;5.4320000000000004;0.69999999999999996;6.032
7.0;700.0;5.3380000000000001;0.80000000000000004;6.0380000000000003
8.0;800.0;5.2450000000000001;0.90000000000000002;6.0449999999999999
9.0;900.0;5.1520000000000001;1.0;6.0519999999999996
10.0;1000.0;5.0590000000000002;1.1000000000000001;6.0590000000000002
11.0;1100.0;4.9669999999999996;1.2;6.0670000000000002
12.0;1200.0;4.875;1.3;6.0750000000000002
13.0;1300.0;4.7839999999999998;1.3999999999999999;6.0839999999999996
14.0;1400.0;4.6929999999999996;1.5;6.093
15.0;1500.0;4.6029999999999998;1.6000000000000001;6.1029999999999998
16.0;1600.0;4.5129999999999999;1.7;6.1130000000000004
17.0;1700.0;4.4240000000000004;1.8;6.1239999999999997
18.0;1800.0;4.3360000000000003;1.8999999999999999;6.1360000000000001
19.0;1900.0;4.2480000000000002;2.0;6.1479999999999997
20.0;2000.0;4.1609999999999996;2.1000000000000001;6.1609999999999996
21.0;2100.0;4.0750000000000002;2.2000000000000002;6.1749999999999998
22.0;2200.0;3.9900000000000002;2.2999999999999998;6.1900000000000004
23.0;2300.0;3.9060000000000001;2.3999999999999999;6.2060000000000004
24.0;2400.0;3.823;2.5;6.2229999999999999
25.0;2500.0;3.7410000000000001;2.6000000000000001;6.2409999999999997
26.0;2600.0;3.6600000000000001;2.7000000000000002;6.2599999999999998
27.0;2700.0;3.5800000000000001;2.7999999999999998;6.2800000000000002
28.0;2800.0;3.5019999999999998;2.8999999999999999;6.3019999999999996
29.0;2900.0;3.4249999999999998;3.0;6.3250000000000002
30.0;3000.0;3.3500000000000001;3.1000000000000001;6.3499999999999996
31.0;3100.0;3.2770000000000001;3.2000000000000002;6.3769999999999998
32.0;3200.0;3.2050000000000001;3.2999999999999998;6.4050000000000002
33.0;3300.0;3.1349999999999998;3.3999999999999999;6.4349999999999996
34.0;3400.0;3.0670000000000002;3.5;6.4669999999999996
35.0;3500.0;3.0019999999999998;3.6000000000000001;6.5019999999999998
36.0;3600.0;2.9390000000000001;3.7000000000000002;6.5389999999999997
37.0;3700.0;2.8780000000000001;3.7999999999999998;6.5780000000000003
38.0;3800.0;2.8199999999999998;3.8999999999999999;6.6200000000000001
39.0;3900.0;2.7650000000000001;4.0;6.665
40.0;4000.0;2.7120000000000002;4.0999999999999996;6.7119999999999997
41.0;4100.0;2.6619999999999999;4.2000000000000002;6.7619999999999996
42.0;4200.0;2.6150000000000002;4.2999999999999998;6.8150000000000004
43.0;4300.0;2.5710000000000002;4.4000000000000004;6.8710000000000004
44.0;4400.0;2.5299999999999998;4.5;6.9299999999999997
45.0;4500.0;2.492;4.5999999999999996;6.992
46.0;4600.0;2.4569999999999999;4.7000000000000002;7.0570000000000004
47.0;4700.0;2.4239999999999999;4.7999999999999998;7.1239999999999997
48.0;4800.0;2.3940000000000001;4.9000000000000004;7.194
49.0;4900.0;2.367;5.0;7.2670000000000003
50.0;5000.0;2.3420000000000001;5.0999999999999996;7.3419999999999996
