id,mean,std,min,5%,25%,median,75%,95%,max,t_beg,t_end,nyr,q1.5,q2,q5,q10,q25,q50,q100,q200,q500
53,7.257948858353166,17.935979295102097,-9.0,-9.0,-9.0,5.5945,12.437749999999998,37.786,232.165,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,93.53273127213576,115.25774689805375,168.72240019270833,204.12065278675436,248.84643877827986,282.0265818210228,282.0265818210228,314.96172789585324,347.7766991550076
347,10.625634104762948,23.817606354662228,-9.0,-9.0,1.52,5.57,14.875,46.81499999999978,450.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,144.46070135356064,183.62775330656714,280.01676813162476,343.8346830307337,424.46878768377053,484.28777279938583,484.28777279938583,543.6650639187442,602.8256972768344
105,15.38720528980278,22.108902615052607,-9.0,1.56,3.73,8.13,18.0,54.4,360.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,129.12795330591027,154.44010746774433,216.73260795224618,257.9756635223005,310.0863735682849,348.74507514397726,348.74507514397726,387.11832693552367,425.3515611771111
10,10.434272032234734,11.080193979153348,-9.0,-9.0,4.9830000000000005,8.9055,14.91775,28.978,230.101,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,44.227394468501465,53.67681591256295,76.93157669345302,92.32825179390416,111.78199159911857,126.213887096173,126.213887096173,140.53921974226398,154.81228165585753
330,25.7072886661846,37.40555846220101,-9.0,3.1485000000000003,7.26,13.9,29.1,87.1,734.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,208.52006530774418,266.64612315603273,409.69271901377306,504.4020123666015,624.0674555873695,712.8421173471569,712.8421173471569,800.9612809395437,888.7589125059853
100,14.307805840479311,21.42294761946994,-9.0,-9.0,4.895,8.25,16.4,52.7954199999999,276.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,117.13180374287074,136.75500487082806,185.04715171678367,217.02075496715418,257.41948743437626,287.3895749865976,287.3895749865976,317.1383681167633,346.7786128979136
25,24.49100764541781,19.610994385802176,2.5069999999999997,6.721550000000001,11.526250000000001,18.8075,30.936749999999996,61.775,460.716,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,87.13367333651739,102.9330842810955,141.81499087930754,167.55819627365022,200.08480453331669,224.21490064734556,224.21490064734556,248.16682391939003,272.03135064678986
102,36.633566742432016,65.12235394346436,-9.0,-9.0,-9.0,18.1485,45.774,149.74749999999958,931.24,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,359.5036542373674,449.23833299325247,670.0728571565867,816.2845275986958,1001.0233608019247,1138.0731806171425,1138.0731806171425,1274.1110460756709,1409.6525322143898
219,29.877901281124043,35.81139002371472,2.48,5.8,10.6,18.6,34.99975,89.95069999999988,561.168,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,193.54836695705987,238.80436572038022,350.1781076337189,423.9172157293963,517.0867742868707,586.2052752060486,586.2052752060486,654.8134159640288,723.171217140981
272,30.61499183799961,46.03528220395997,-9.0,4.07,8.6,15.7,33.9,105.0,861.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,241.17795430373698,310.1830198497553,480.002548107834,592.4378522994019,734.500157205661,839.8900904013474,839.8900904013474,944.5018408734636,1048.7318806404878
47,45.23463983882661,74.93590876310893,-9.0,-9.0,-9.0,27.0,57.2,178.48944999999895,867.7,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,402.2800440172429,492.1548373889387,713.3341796865759,859.7741497372095,1044.8014401010196,1182.0652539162893,1182.0652539162893,1318.3155332767637,1454.0686582547814
11,25.093065554292945,31.776847797695783,-9.0,-9.0,13.679,17.08,29.589,88.59664999999998,307.769,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,139.92673859742024,162.77793970756113,219.0141038492606,256.2473377811664,303.2916275575189,338.1917691541224,338.1917691541224,372.8342135834813,407.3502535522556
136,34.44758926542036,44.47522428258409,2.33,6.890000000000001,11.2,19.2,38.0,113.14849999999784,569.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,219.74303748662265,263.58968805587165,371.4950636460313,442.93781144325243,533.2059126760942,600.1719468039233,600.1719468039233,666.6435142474677,732.8725381071131
276,37.70233050934999,51.351933429641505,-9.0,-9.0,12.995249999999999,23.6,45.86975,131.0,854.96,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,250.21404270489387,312.2149715037694,464.79751594271625,565.820437006568,693.4631655773164,788.1558333181565,788.1558333181565,882.1493052643864,975.7998108202371
615,49.31681599338749,48.54439800263102,5.3,12.2,22.1,34.7,58.9,132.0,1031.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,279.8449606594789,340.4253367514655,489.5119408758751,588.2202452596991,712.9384495193028,805.4615380604806,805.4615380604806,897.3014506392977,988.8062548041189
15,32.83194586217578,42.99735104543286,-9.0,-9.0,17.60275,22.408500000000004,39.19975,117.19215000000001,435.939,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,191.0704216396646,224.2688537090942,305.96926263311286,360.06204232796244,428.4084128695838,479.11165487528035,479.11165487528035,529.4405121009376,579.5857277806748
159,47.42075591486696,56.71269772454683,3.0,11.2,16.0,27.2,54.9,152.0,759.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,279.5422632443075,337.82762812199405,481.26627410484457,576.2351387539029,696.2285509955676,785.2465189105336,785.2465189105336,873.6071921236412,961.6454520827656
