gid,name,oid_1,river,id,xsid,discharge,waterlevel,datum(m),source
255,Rees,2790010,RHEIN,1,4715,1,1,8.74,https://www.pegelonline.wsv.de/gast/pegelinformationen
238,Bentfeld,2.79E+12,Lippe,10,999,1,0,0,
