date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2009-12-21',19.341,0.000,22.597,0.000,36.441,0.000,38.316,0.000
'2009-12-22',24.800,0.000,21.896,0.000,35.504,0.000,37.127,0.000
'2009-12-23',18.779,0.000,21.271,0.000,34.499,0.000,36.069,0.000
'2009-12-24',22.864,0.000,20.634,0.000,33.361,0.000,34.988,0.000
'2009-12-25',48.634,30.144,22.979,0.000,38.779,3.073,38.965,0.000
'2009-12-26',64.054,35.470,25.249,0.000,40.240,3.615,42.813,0.000
'2009-12-27',61.589,37.383,27.446,0.000,41.302,3.810,46.538,0.000
'2009-12-28',34.407,0.000,28.755,0.000,40.261,0.000,48.757,0.000
'2009-12-29',23.046,0.000,27.928,0.000,38.875,0.000,47.356,0.000
'2009-12-30',31.375,0.000,27.034,0.000,37.483,0.000,45.839,0.000
'2009-12-31',22.540,0.000,26.280,0.000,36.115,0.000,44.561,0.000
'2010-01-01',28.956,0.000,25.634,0.000,34.521,0.000,43.465,0.000
'2010-01-02',22.075,0.000,24.927,0.000,33.069,0.000,42.267,0.000
'2010-01-03',26.711,0.000,24.155,0.000,31.393,0.000,40.958,0.000
'2010-01-04',21.203,0.000,23.379,0.000,29.811,0.000,39.642,0.000
'2010-01-05',24.683,0.000,22.728,0.000,28.399,0.000,38.539,0.000
'2010-01-06',20.358,0.000,22.012,0.000,27.046,0.000,37.325,0.000
'2010-01-07',22.807,0.000,21.305,0.000,26.032,0.000,36.125,0.000
'2010-01-08',19.368,0.000,20.631,0.000,24.996,0.000,34.982,0.000
'2010-01-09',21.127,0.000,19.971,0.000,23.923,0.000,33.864,0.000
'2010-01-10',18.592,0.000,19.573,0.000,23.672,0.000,33.188,0.000
'2010-01-11',19.980,0.000,19.084,0.000,23.274,0.000,32.359,0.000
'2010-01-12',17.734,0.000,18.470,0.000,22.512,0.000,31.319,0.000
'2010-01-13',18.699,0.000,18.020,0.000,21.977,0.000,30.555,0.000
'2010-01-14',16.957,0.000,17.512,0.000,21.204,0.000,29.693,0.000
'2010-01-15',17.491,0.000,16.963,0.000,20.129,0.000,28.764,0.000
'2010-01-16',15.997,0.000,16.416,0.000,19.241,0.000,27.836,0.000
'2010-01-17',16.304,0.000,15.896,0.000,18.513,0.000,26.955,0.000
'2010-01-18',15.103,0.000,15.423,0.000,17.962,0.000,26.151,0.000
'2010-01-19',15.249,0.000,14.930,0.000,17.131,0.000,25.317,0.000
'2010-01-20',14.225,0.000,14.467,0.000,16.530,0.000,24.532,0.000
'2010-01-21',14.294,0.000,14.049,0.000,15.945,0.000,23.822,0.000
'2010-01-22',13.595,0.000,13.789,0.000,16.036,0.000,23.381,0.000
'2010-01-23',13.882,0.000,13.706,0.000,17.104,0.000,23.241,0.000
'2010-01-24',13.662,0.000,13.826,0.000,19.056,0.000,23.443,0.000
'2010-01-25',13.812,0.000,13.656,0.000,19.515,0.000,23.156,0.000
'2010-01-26',13.161,0.000,13.268,0.000,18.920,0.000,22.497,0.000
'2010-01-27',13.389,0.000,13.299,0.000,20.002,0.000,22.550,0.000
'2010-01-28',14.022,0.000,14.169,0.000,23.548,0.000,24.026,0.000
'2010-01-29',13.921,0.000,13.760,0.000,22.779,0.000,23.333,0.000
'2010-01-30',13.215,0.000,13.322,0.000,21.653,0.000,22.589,0.000
'2010-01-31',13.022,0.000,12.895,0.000,20.833,0.000,21.866,0.000
'2010-02-01',12.411,0.000,12.490,0.000,19.767,0.000,21.178,0.000
'2010-02-02',12.194,0.000,12.094,0.000,18.989,0.000,20.507,0.000
'2010-02-03',11.652,0.000,11.709,0.000,18.210,0.000,19.854,0.000
'2010-02-04',11.412,0.000,11.333,0.000,17.420,0.000,19.216,0.000
'2010-02-05',10.978,0.000,11.023,0.000,16.860,0.000,18.692,0.000
'2010-02-06',11.349,0.000,11.334,0.000,19.310,0.000,19.218,0.000
'2010-02-07',11.041,0.000,11.031,0.000,19.148,0.000,18.705,0.000
'2010-02-08',10.716,0.000,10.699,0.000,18.548,0.000,18.141,0.000
'2010-02-09',11.011,0.000,11.054,0.000,20.551,0.000,18.744,0.000
'2010-02-10',10.818,0.000,10.757,0.000,20.089,0.000,18.240,0.000
'2010-02-11',10.413,0.000,10.442,0.000,19.385,0.000,17.705,0.000
'2010-02-12',10.156,0.000,10.105,0.000,18.504,0.000,17.134,0.000
'2010-02-13',9.770,0.000,9.791,0.000,17.550,0.000,16.601,0.000
'2010-02-14',10.202,0.000,10.218,0.000,19.916,0.000,17.325,0.000
'2010-02-15',9.929,0.000,9.890,0.000,19.085,0.000,16.769,0.000
'2010-02-16',9.580,0.000,9.591,0.000,18.331,0.000,16.264,0.000
'2010-02-17',9.325,0.000,9.292,0.000,17.784,0.000,15.756,0.000
'2010-02-18',8.990,0.000,8.996,0.000,16.911,0.000,15.254,0.000
'2010-02-19',8.746,0.000,8.720,0.000,16.056,0.000,14.786,0.000
'2010-02-20',8.476,0.000,8.481,0.000,15.654,0.000,14.381,0.000
'2010-02-21',8.576,0.000,8.580,0.000,16.917,0.000,14.548,0.000
'2010-02-22',8.439,0.000,8.423,0.000,16.798,0.000,14.283,0.000
'2010-02-23',10.768,0.000,10.981,0.000,28.847,0.000,18.620,0.000
'2010-02-24',11.366,0.000,11.196,0.000,28.822,0.000,18.985,0.000
'2010-02-25',12.994,0.000,13.307,0.000,31.850,0.000,22.565,0.000
'2010-02-26',20.012,4.394,15.889,0.000,35.261,0.448,26.942,0.000
'2010-02-27',16.304,0.000,15.710,0.000,33.724,0.000,26.639,0.000
'2010-02-28',14.735,0.000,15.217,0.000,31.739,0.000,25.802,0.000
'2010-03-01',15.192,0.000,14.733,0.000,30.427,0.000,24.982,0.000
'2010-03-02',14.376,0.000,14.782,0.000,29.890,0.000,25.064,0.000
'2010-03-03',15.100,0.000,14.743,0.000,29.388,0.000,24.998,0.000
'2010-03-04',13.994,0.000,14.270,0.000,28.242,0.000,24.196,0.000
'2010-03-05',14.089,0.000,13.812,0.000,27.062,0.000,23.420,0.000
'2010-03-06',14.449,0.000,14.766,0.000,28.701,0.000,25.038,0.000
'2010-03-07',14.867,0.000,14.574,0.000,27.837,0.000,24.713,0.000
'2010-03-08',13.984,0.000,14.212,0.000,26.585,0.000,24.098,0.000
'2010-03-09',14.301,0.000,14.093,0.000,26.211,0.000,23.896,0.000
'2010-03-10',16.024,0.000,16.385,0.000,30.881,0.000,27.784,0.000
'2010-03-11',18.663,0.000,18.513,0.000,33.192,0.000,31.391,0.000
'2010-03-12',17.845,0.000,17.931,0.000,31.806,0.000,30.404,0.000
'2010-03-13',17.512,0.000,17.395,0.000,30.463,0.000,29.495,0.000
'2010-03-14',19.155,0.000,19.415,0.000,32.973,0.000,32.922,0.000
'2010-03-15',19.080,0.000,18.804,0.000,31.117,0.000,31.885,0.000
'2010-03-16',18.061,0.000,18.259,0.000,29.573,0.000,30.961,0.000
'2010-03-17',18.471,0.000,18.301,0.000,29.124,0.000,31.031,0.000
'2010-03-18',17.995,0.000,18.131,0.000,28.895,0.000,30.744,0.000
'2010-03-19',17.725,0.000,17.561,0.000,27.930,0.000,29.778,0.000
'2010-03-20',17.235,0.000,17.362,0.000,27.408,0.000,29.440,0.000
'2010-03-21',16.958,0.000,16.803,0.000,26.200,0.000,28.491,0.000
'2010-03-22',16.502,0.000,16.624,0.000,25.849,0.000,28.189,0.000
'2010-03-23',16.550,0.000,16.428,0.000,25.532,0.000,27.856,0.000
'2010-03-24',16.178,0.000,16.272,0.000,25.234,0.000,27.592,0.000
'2010-03-25',15.881,0.000,15.759,0.000,23.609,0.000,26.721,0.000
'2010-03-26',15.466,0.000,15.558,0.000,23.358,0.000,26.381,0.000
'2010-03-27',15.181,0.000,15.061,0.000,22.666,0.000,25.539,0.000
'2010-03-28',14.521,0.000,14.589,0.000,21.546,0.000,24.737,0.000
'2010-03-29',14.366,0.000,14.283,0.000,21.179,0.000,24.218,0.000
