date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2009-03-21',35.946,3.233,33.131,0.000,96.475,1.215,21.925,0.000
'2009-03-22',34.114,0.000,33.957,0.000,96.261,0.000,22.472,0.000
'2009-03-23',39.664,3.247,36.814,0.000,98.540,1.220,24.363,0.000
'2009-03-24',36.363,0.000,36.105,0.000,97.815,0.000,23.894,0.000
'2009-03-25',41.903,3.514,38.793,0.000,99.889,1.320,25.672,0.000
'2009-03-26',43.805,2.640,41.269,0.000,100.640,0.992,27.311,0.000
'2009-03-27',55.089,12.317,43.551,0.000,103.873,4.627,28.821,0.000
'2009-03-28',75.735,31.467,45.653,0.000,108.823,11.821,30.212,0.000
'2009-03-29',94.888,48.536,47.590,0.000,112.699,18.234,31.494,0.000
'2009-03-30',85.205,35.069,49.375,0.000,111.689,13.174,32.675,0.000
'2009-03-31',93.723,43.351,51.019,0.000,113.411,16.286,33.763,0.000
'2009-04-01',94.471,41.944,52.534,0.000,114.327,15.757,34.766,0.000
'2009-04-02',109.960,57.109,53.930,0.000,116.973,21.454,35.690,0.000
'2009-04-03',97.549,41.392,55.216,0.000,115.764,15.550,36.541,0.000
'2009-04-04',84.651,27.416,56.402,0.000,114.743,10.299,37.325,0.000
'2009-04-05',72.951,14.700,57.493,0.000,113.050,5.522,38.048,0.000
'2009-04-06',62.787,3.632,58.499,0.000,111.300,1.364,38.714,0.000
'2009-04-07',56.882,0.000,56.516,0.000,109.964,0.000,37.401,0.000
'2009-04-08',76.839,20.657,57.599,0.000,113.425,7.760,38.118,0.000
'2009-04-09',68.402,9.118,58.596,0.000,113.020,3.426,38.778,0.000
'2009-04-10',64.385,4.638,59.516,0.000,112.390,1.742,39.386,0.000
'2009-04-11',90.343,31.806,60.363,0.000,116.033,11.949,39.947,0.000
'2009-04-12',111.594,51.805,61.143,0.000,118.346,19.461,40.463,0.000
'2009-04-13',99.071,36.241,61.862,0.000,116.941,13.615,40.939,0.000
'2009-04-14',87.351,24.076,62.525,0.000,115.966,9.045,41.378,0.000
'2009-04-15',94.455,31.867,63.135,0.000,117.161,11.971,41.782,0.000
'2009-04-16',83.098,18.570,63.698,0.000,115.147,6.976,42.154,0.000
'2009-04-17',71.971,7.037,64.216,0.000,113.661,2.644,42.497,0.000
'2009-04-18',63.432,0.000,62.887,0.000,112.311,0.000,41.617,0.000
'2009-04-19',58.528,0.000,58.224,0.000,110.845,0.000,38.532,0.000
'2009-04-20',53.959,0.000,53.661,0.000,109.224,0.000,35.512,0.000
'2009-04-21',51.204,0.000,51.033,0.000,108.135,0.000,33.773,0.000
'2009-04-22',47.282,0.000,47.021,0.000,107.318,0.000,31.117,0.000
'2009-04-23',43.713,0.000,43.483,0.000,105.887,0.000,28.776,0.000
'2009-04-24',56.522,11.841,45.590,0.000,108.105,4.448,30.171,0.000
'2009-04-25',49.382,1.289,47.532,0.000,106.631,0.484,31.456,0.000
'2009-04-26',45.007,0.000,44.741,0.000,105.437,0.000,29.609,0.000
'2009-04-27',41.473,0.000,41.245,0.000,104.377,0.000,27.295,0.000
'2009-04-28',38.311,0.000,38.106,0.000,102.755,0.000,25.218,0.000
'2009-04-29',35.874,0.000,35.719,0.000,101.786,0.000,23.638,0.000
'2009-04-30',51.575,14.243,38.437,0.000,105.992,5.351,25.437,0.000
'2009-05-01',44.816,3.326,40.941,0.000,105.198,1.250,27.094,0.000
'2009-05-02',69.807,28.339,43.249,0.000,110.235,10.646,28.621,0.000
'2009-05-03',100.421,57.056,45.375,0.000,115.211,21.434,30.028,0.000
'2009-05-04',92.210,44.164,47.334,0.000,114.694,16.591,31.324,0.000
'2009-05-05',80.187,30.260,49.138,0.000,113.663,11.368,32.519,0.000
'2009-05-06',75.745,24.689,50.801,0.000,113.280,9.275,33.619,0.000
'2009-05-07',77.571,25.382,52.334,0.000,113.666,9.535,34.633,0.000
'2009-05-08',73.727,19.704,53.745,0.000,113.355,7.402,35.568,0.000
'2009-05-09',63.935,8.226,55.046,0.000,112.187,3.090,36.428,0.000
'2009-05-10',55.629,0.000,55.097,0.000,110.416,0.000,36.462,0.000
'2009-05-11',51.696,0.000,51.459,0.000,108.342,0.000,34.054,0.000
'2009-05-12',48.522,0.000,48.317,0.000,107.116,0.000,31.975,0.000
'2009-05-13',56.821,7.369,50.045,0.000,108.639,2.768,33.119,0.000
'2009-05-14',50.518,0.000,50.038,0.000,107.583,0.000,33.114,0.000
'2009-05-15',46.421,0.000,46.169,0.000,106.167,0.000,30.554,0.000
'2009-05-16',43.520,0.000,43.336,0.000,105.274,0.000,28.679,0.000
'2009-05-17',44.304,0.000,44.371,0.000,105.252,0.000,29.364,0.000
'2009-05-18',41.571,0.000,41.375,0.000,104.138,0.000,27.381,0.000
'2009-05-19',38.679,0.000,38.491,0.000,103.045,0.000,25.472,0.000
'2009-05-20',35.662,0.000,35.464,0.000,101.891,0.000,23.470,0.000
'2009-05-21',32.858,0.000,32.676,0.000,100.916,0.000,21.624,0.000
'2009-05-22',30.274,0.000,30.107,0.000,99.937,0.000,19.924,0.000
'2009-05-23',27.894,0.000,27.740,0.000,98.642,0.000,18.358,0.000
'2009-05-24',25.713,0.000,25.572,0.000,97.452,0.000,16.923,0.000
'2009-05-25',26.831,0.000,26.919,0.000,97.634,0.000,17.815,0.000
'2009-05-26',24.989,0.000,24.854,0.000,96.386,0.000,16.448,0.000
'2009-05-27',23.063,0.000,22.938,0.000,94.898,0.000,15.180,0.000
'2009-05-28',24.581,0.000,24.695,0.000,95.140,0.000,16.343,0.000
'2009-05-29',23.456,0.000,23.370,0.000,94.440,0.000,15.466,0.000
'2009-05-30',24.615,0.000,24.702,0.000,95.381,0.000,16.347,0.000
'2009-05-31',23.114,0.000,23.003,0.000,94.271,0.000,15.223,0.000
'2009-06-01',21.318,0.000,21.201,0.000,92.883,0.000,14.030,0.000
'2009-06-02',19.643,0.000,19.534,0.000,90.875,0.000,12.927,0.000
'2009-06-03',18.098,0.000,17.998,0.000,89.360,0.000,11.911,0.000
'2009-06-04',16.675,0.000,16.583,0.000,88.079,0.000,10.974,0.000
'2009-06-05',16.476,0.000,16.469,0.000,88.054,0.000,10.899,0.000
'2009-06-06',15.370,0.000,15.293,0.000,87.389,0.000,10.121,0.000
'2009-06-07',14.426,0.000,14.365,0.000,86.915,0.000,9.507,0.000
'2009-06-08',29.250,11.525,18.762,0.000,92.995,4.330,12.417,0.000
'2009-06-09',24.390,1.166,22.814,0.000,92.229,0.438,15.098,0.000
'2009-06-10',25.087,0.000,25.165,0.000,92.893,0.000,16.653,0.000
'2009-06-11',39.475,11.760,28.712,0.000,97.868,4.418,19.001,0.000
'2009-06-12',54.312,23.295,31.981,0.000,101.632,8.751,21.165,0.000
'2009-06-13',49.143,13.723,34.993,0.000,101.515,5.155,23.158,0.000
'2009-06-14',41.058,2.756,37.768,0.000,100.685,1.035,24.994,0.000
'2009-06-15',39.262,0.000,39.174,0.000,100.507,0.000,25.925,0.000
'2009-06-16',41.993,0.569,41.620,0.000,101.599,0.214,27.544,0.000
'2009-06-17',38.902,0.000,38.673,0.000,100.803,0.000,25.593,0.000
'2009-06-18',35.874,0.000,35.679,0.000,99.530,0.000,23.612,0.000
'2009-06-19',33.112,0.000,32.933,0.000,98.215,0.000,21.794,0.000
'2009-06-20',33.155,0.000,33.171,0.000,98.052,0.000,21.952,0.000
'2009-06-21',30.787,0.000,30.621,0.000,96.801,0.000,20.264,0.000
'2009-06-22',58.733,26.953,33.740,0.000,104.826,10.125,22.328,0.000
'2009-06-23',55.374,18.390,36.613,0.000,104.893,6.908,24.230,0.000
'2009-06-24',46.678,6.836,39.261,0.000,103.657,2.568,25.982,0.000
'2009-06-25',42.499,0.547,41.701,0.000,103.315,0.206,27.597,0.000
'2009-06-26',38.939,0.000,38.708,0.000,102.341,0.000,25.616,0.000
'2009-06-27',35.863,0.000,35.665,0.000,101.378,0.000,23.602,0.000
'2009-06-28',33.044,0.000,32.861,0.000,100.588,0.000,21.747,0.000
'2009-06-29',30.539,0.000,30.377,0.000,99.525,0.000,20.103,0.000
'2009-06-30',28.673,0.000,28.554,0.000,98.969,0.000,18.897,0.000
'2009-07-01',29.752,0.000,29.835,0.000,99.334,0.000,19.744,0.000
'2009-07-02',28.507,0.000,28.414,0.000,98.546,0.000,18.804,0.000
'2009-07-03',26.976,0.000,26.875,0.000,97.743,0.000,17.786,0.000
'2009-07-04',25.339,0.000,25.232,0.000,97.008,0.000,16.698,0.000
'2009-07-05',23.383,0.000,23.254,0.000,96.048,0.000,15.389,0.000
'2009-07-06',21.910,0.000,21.816,0.000,94.592,0.000,14.438,0.000
'2009-07-07',20.213,0.000,20.101,0.000,93.612,0.000,13.303,0.000
'2009-07-08',29.736,6.360,24.047,0.000,96.494,2.389,15.914,0.000
'2009-07-09',25.845,0.000,25.527,0.000,95.310,0.000,16.893,0.000
'2009-07-10',23.651,0.000,23.520,0.000,94.312,0.000,15.565,0.000
'2009-07-11',22.028,0.000,21.924,0.000,93.501,0.000,14.509,0.000
'2009-07-12',20.346,0.000,20.236,0.000,92.270,0.000,13.392,0.000
'2009-07-13',19.141,0.000,19.065,0.000,91.270,0.000,12.617,0.000
'2009-07-14',17.669,0.000,17.572,0.000,90.170,0.000,11.629,0.000
'2009-07-15',16.684,0.000,16.622,0.000,89.313,0.000,11.000,0.000
'2009-07-16',15.400,0.000,15.315,0.000,88.158,0.000,10.135,0.000
'2009-07-17',14.263,0.000,14.190,0.000,87.051,0.000,9.391,0.000
'2009-07-18',13.304,0.000,13.242,0.000,85.916,0.000,8.763,0.000
'2009-07-19',12.269,0.000,12.201,0.000,84.898,0.000,8.074,0.000
'2009-07-20',11.517,0.000,11.469,0.000,84.259,0.000,7.590,0.000
'2009-07-21',10.852,0.000,10.809,0.000,83.628,0.000,7.153,0.000
'2009-07-22',18.423,3.469,15.485,0.000,87.405,1.303,10.248,0.000
'2009-07-23',16.584,0.000,16.419,0.000,86.766,0.000,10.866,0.000
'2009-07-24',15.212,0.000,15.128,0.000,85.627,0.000,10.011,0.000
'2009-07-25',14.016,0.000,13.939,0.000,84.516,0.000,9.224,0.000
'2009-07-26',12.914,0.000,12.843,0.000,83.307,0.000,8.499,0.000
'2009-07-27',11.899,0.000,11.833,0.000,81.994,0.000,7.831,0.000
'2009-07-28',10.973,0.000,10.913,0.000,80.910,0.000,7.222,0.000
'2009-07-29',10.116,0.000,10.060,0.000,79.666,0.000,6.658,0.000
'2009-07-30',9.321,0.000,9.269,0.000,79.029,0.000,6.134,0.000
'2009-07-31',8.588,0.000,8.540,0.000,77.874,0.000,5.652,0.000
'2009-08-01',7.917,0.000,7.874,0.000,76.990,0.000,5.211,0.000
'2009-08-02',7.295,0.000,7.255,0.000,75.785,0.000,4.801,0.000
'2009-08-03',6.726,0.000,6.689,0.000,74.694,0.000,4.427,0.000
'2009-08-04',6.197,0.000,6.163,0.000,73.717,0.000,4.079,0.000
'2009-08-05',5.714,0.000,5.683,0.000,72.892,0.000,3.761,0.000
'2009-08-06',5.791,0.000,5.798,0.000,72.395,0.000,3.837,0.000
'2009-08-07',5.726,0.000,5.721,0.000,72.188,0.000,3.786,0.000
'2009-08-08',6.082,0.000,6.107,0.000,72.288,0.000,4.041,0.000
'2009-08-09',5.849,0.000,5.831,0.000,71.793,0.000,3.859,0.000
'2009-08-10',5.411,0.000,5.382,0.000,70.943,0.000,3.562,0.000
'2009-08-11',5.259,0.000,5.250,0.000,70.100,0.000,3.474,0.000
'2009-08-12',4.864,0.000,4.837,0.000,69.304,0.000,3.201,0.000
'2009-08-13',4.968,0.000,4.977,0.000,68.752,0.000,3.294,0.000
'2009-08-14',9.080,0.000,9.367,0.000,72.743,0.000,6.199,0.000
'2009-08-15',8.695,0.000,8.648,0.000,71.819,0.000,5.723,0.000
'2009-08-16',9.820,0.000,9.902,0.000,72.623,0.000,6.553,0.000
'2009-08-17',10.551,0.000,10.596,0.000,73.218,0.000,7.012,0.000
'2009-08-18',9.948,0.000,9.903,0.000,72.545,0.000,6.554,0.000
'2009-08-19',9.810,0.000,9.804,0.000,72.235,0.000,6.488,0.000
'2009-08-20',9.275,0.000,9.238,0.000,71.772,0.000,6.113,0.000
'2009-08-21',10.373,0.000,10.453,0.000,72.863,0.000,6.917,0.000
'2009-08-22',9.705,0.000,9.653,0.000,72.210,0.000,6.388,0.000
'2009-08-23',11.408,0.000,11.530,0.000,73.692,0.000,7.630,0.000
'2009-08-24',18.936,3.302,16.150,0.000,79.560,1.241,10.688,0.000
'2009-08-25',25.184,5.177,20.406,0.000,83.443,1.945,13.505,0.000
'2009-08-26',22.707,0.000,22.506,0.000,83.129,0.000,14.894,0.000
'2009-08-27',20.852,0.000,20.737,0.000,82.100,0.000,13.723,0.000
'2009-08-28',19.213,0.000,19.107,0.000,80.773,0.000,12.644,0.000
'2009-08-29',17.721,0.000,17.625,0.000,79.714,0.000,11.664,0.000
'2009-08-30',17.848,0.000,17.864,0.000,79.808,0.000,11.822,0.000
'2009-08-31',23.173,1.557,21.986,0.000,83.183,0.585,14.550,0.000
'2009-09-01',21.232,0.000,21.071,0.000,81.595,0.000,13.945,0.000
'2009-09-02',19.528,0.000,19.420,0.000,80.074,0.000,12.852,0.000
'2009-09-03',18.026,0.000,17.928,0.000,78.657,0.000,11.865,0.000
'2009-09-04',17.681,0.000,17.663,0.000,78.426,0.000,11.689,0.000
'2009-09-05',18.208,0.000,18.246,0.000,78.912,0.000,12.075,0.000
'2009-09-06',16.909,0.000,16.816,0.000,77.875,0.000,11.129,0.000
'2009-09-07',15.858,0.000,15.791,0.000,76.633,0.000,10.450,0.000
'2009-09-08',14.725,0.000,14.650,0.000,75.743,0.000,9.695,0.000
'2009-09-09',13.613,0.000,13.541,0.000,74.810,0.000,8.961,0.000
'2009-09-10',13.465,0.000,13.460,0.000,74.530,0.000,8.908,0.000
'2009-09-11',12.475,0.000,12.406,0.000,73.648,0.000,8.210,0.000
'2009-09-12',11.495,0.000,11.431,0.000,72.456,0.000,7.565,0.000
'2009-09-13',10.608,0.000,10.550,0.000,71.759,0.000,6.982,0.000
'2009-09-14',10.566,0.000,10.568,0.000,71.345,0.000,6.993,0.000
'2009-09-15',14.819,0.000,15.115,0.000,75.556,0.000,10.003,0.000
'2009-09-16',20.568,1.495,19.453,0.000,80.247,0.562,12.874,0.000
'2009-09-17',24.226,1.005,23.450,0.000,83.322,0.377,15.519,0.000
'2009-09-18',34.139,7.681,27.133,0.000,88.355,2.886,17.956,0.000
'2009-09-19',29.581,0.000,29.216,0.000,87.083,0.000,19.335,0.000
'2009-09-20',27.074,0.000,26.925,0.000,85.757,0.000,17.818,0.000
'2009-09-21',25.048,0.000,24.917,0.000,84.293,0.000,16.490,0.000
'2009-09-22',23.312,0.000,23.200,0.000,83.320,0.000,15.353,0.000
'2009-09-23',21.495,0.000,21.376,0.000,82.033,0.000,14.146,0.000
'2009-09-24',19.805,0.000,19.695,0.000,80.350,0.000,13.034,0.000
'2009-09-25',18.257,0.000,18.157,0.000,78.900,0.000,12.016,0.000
'2009-09-26',16.910,0.000,16.823,0.000,77.806,0.000,11.133,0.000
'2009-09-27',15.596,0.000,15.510,0.000,76.492,0.000,10.265,0.000
'2009-09-28',14.370,0.000,14.291,0.000,75.401,0.000,9.457,0.000
'2009-09-29',13.241,0.000,13.167,0.000,74.478,0.000,8.714,0.000
'2009-09-30',12.200,0.000,12.132,0.000,73.298,0.000,8.029,0.000
'2009-10-01',11.321,0.000,11.264,0.000,72.043,0.000,7.454,0.000
'2009-10-02',11.729,0.000,11.761,0.000,72.342,0.000,7.784,0.000
'2009-10-03',13.875,0.000,14.022,0.000,74.165,0.000,9.279,0.000
'2009-10-04',15.228,0.000,15.312,0.000,75.197,0.000,10.133,0.000
'2009-10-05',14.213,0.000,14.136,0.000,74.462,0.000,9.355,0.000
'2009-10-06',13.097,0.000,13.025,0.000,73.445,0.000,8.619,0.000
'2009-10-07',12.441,0.000,12.400,0.000,72.979,0.000,8.206,0.000
'2009-10-08',12.322,0.000,12.316,0.000,72.853,0.000,8.151,0.000
'2009-10-09',11.411,0.000,11.348,0.000,71.812,0.000,7.510,0.000
'2009-10-10',10.547,0.000,10.491,0.000,70.524,0.000,6.943,0.000
'2009-10-11',10.600,0.000,10.608,0.000,70.490,0.000,7.020,0.000
