date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2009-09-17',61.091,41.190,23.527,0.000,257.992,7.180,35.170,0.000
'2009-09-18',78.396,67.102,24.685,0.000,263.897,11.696,36.903,0.000
'2009-09-19',77.707,38.121,25.802,0.000,262.402,6.645,38.572,0.000
'2009-09-20',52.922,15.274,26.878,0.000,260.802,2.662,40.180,0.000
'2009-09-21',34.848,0.000,27.698,0.000,259.002,0.000,41.406,0.000
'2009-09-22',27.281,0.000,26.873,0.000,257.819,0.000,40.173,0.000
'2009-09-23',26.379,0.000,25.895,0.000,256.232,0.000,38.711,0.000
'2009-09-24',25.419,0.000,24.953,0.000,254.065,0.000,37.302,0.000
'2009-09-25',24.498,0.000,24.052,0.000,252.197,0.000,35.956,0.000
'2009-09-26',23.647,0.000,23.251,0.000,250.762,0.000,34.759,0.000
'2009-09-27',22.827,0.000,22.413,0.000,249.045,0.000,33.505,0.000
'2009-09-28',22.000,0.000,21.597,0.000,247.644,0.000,32.285,0.000
'2009-09-29',21.200,0.000,20.811,0.000,246.480,0.000,31.110,0.000
'2009-09-30',20.428,0.000,20.053,0.000,244.908,0.000,29.978,0.000
'2009-10-01',19.720,0.000,19.395,0.000,243.202,0.000,28.993,0.000
'2009-10-02',19.624,0.000,19.849,0.000,243.350,0.000,29.672,0.000
'2009-10-03',22.697,4.343,21.142,0.000,245.193,0.757,31.605,0.000
'2009-10-04',25.392,2.914,22.387,0.000,246.216,0.508,33.467,0.000
'2009-10-05',23.594,0.000,21.922,0.000,245.287,0.000,32.772,0.000
'2009-10-06',21.519,0.000,21.124,0.000,243.983,0.000,31.579,0.000
'2009-10-07',20.902,0.000,20.684,0.000,243.330,0.000,30.921,0.000
'2009-10-08',20.676,0.000,20.668,0.000,243.036,0.000,30.897,0.000
'2009-10-09',20.288,0.000,19.916,0.000,241.664,0.000,29.773,0.000
'2009-10-10',19.564,0.000,19.220,0.000,239.900,0.000,28.733,0.000
'2009-10-11',19.268,0.000,19.315,0.000,239.669,0.000,28.875,0.000
'2009-10-12',19.227,0.000,19.140,0.000,239.544,0.000,28.613,0.000
'2009-10-13',24.736,9.756,20.459,0.000,243.131,1.700,30.584,0.000
'2009-10-14',29.977,8.015,21.729,0.000,244.801,1.397,32.483,0.000
'2009-10-15',35.369,17.922,22.953,0.000,248.540,3.124,34.313,0.000
'2009-10-16',32.415,0.000,24.131,0.000,247.893,0.000,36.075,0.000
'2009-10-17',23.925,0.000,23.723,0.000,247.456,0.000,35.465,0.000
'2009-10-18',23.592,0.000,23.462,0.000,246.942,0.000,35.074,0.000
'2009-10-19',23.701,0.000,23.935,0.000,247.334,0.000,35.782,0.000
'2009-10-20',24.000,0.000,24.063,0.000,247.583,0.000,35.972,0.000
'2009-10-21',23.647,0.000,23.240,0.000,246.917,0.000,34.742,0.000
'2009-10-22',22.867,0.000,22.501,0.000,245.926,0.000,33.637,0.000
'2009-10-23',22.100,0.000,21.708,0.000,244.708,0.000,32.452,0.000
'2009-10-24',79.737,113.613,22.933,0.000,265.943,19.803,34.283,0.000
'2009-10-25',117.774,75.284,24.114,0.000,265.154,13.122,36.048,0.000
'2009-10-26',83.818,43.315,25.251,0.000,263.884,7.550,37.748,0.000
'2009-10-27',59.893,25.055,26.347,0.000,263.048,4.367,39.387,0.000
'2009-10-28',42.134,5.657,27.403,0.000,261.333,0.986,40.966,0.000
'2009-10-29',30.127,0.000,27.256,0.000,260.068,0.000,40.746,0.000
'2009-10-30',35.709,15.704,28.279,0.000,263.209,2.737,42.275,0.000
'2009-10-31',37.963,2.804,29.265,0.000,262.942,0.489,43.749,0.000
'2009-11-01',30.848,0.000,29.652,0.000,263.215,0.000,44.328,0.000
'2009-11-02',48.673,36.705,30.588,0.000,268.992,6.398,45.727,0.000
'2009-11-03',66.740,34.710,31.490,0.000,270.484,6.050,47.075,0.000
'2009-11-04',57.980,17.574,32.359,0.000,270.119,3.063,48.374,0.000
'2009-11-05',59.713,36.092,33.196,0.000,273.530,6.291,49.626,0.000
'2009-11-06',89.055,74.403,34.003,0.000,279.640,12.969,50.832,0.000
'2009-11-07',94.829,46.757,34.780,0.000,279.149,8.150,51.994,0.000
'2009-11-08',73.275,29.656,35.530,0.000,278.987,5.169,53.114,0.000
'2009-11-09',56.103,10.960,36.251,0.000,278.004,1.910,54.193,0.000
'2009-11-10',55.839,27.338,36.947,0.000,279.567,4.765,55.233,0.000
'2009-11-11',64.415,26.924,37.617,0.000,280.057,4.693,56.235,0.000
'2009-11-12',88.965,74.611,38.263,0.000,285.485,13.005,57.200,0.000
'2009-11-13',103.263,54.969,38.886,0.000,285.612,9.581,58.131,0.000
'2009-11-14',81.665,30.247,39.485,0.000,284.827,5.272,59.027,0.000
'2009-11-15',59.757,9.928,40.063,0.000,283.420,1.731,59.891,0.000
'2009-11-16',47.365,4.173,40.620,0.000,282.771,0.727,60.724,0.000
'2009-11-17',51.209,16.333,41.157,0.000,284.165,2.847,61.526,0.000
'2009-11-18',55.640,12.156,41.674,0.000,284.284,2.119,62.299,0.000
'2009-11-19',47.618,0.000,41.537,0.000,283.259,0.000,62.094,0.000
'2009-11-20',40.852,0.000,40.183,0.000,281.891,0.000,60.070,0.000
'2009-11-21',39.483,0.000,38.798,0.000,280.409,0.000,58.000,0.000
'2009-11-22',38.311,0.000,37.835,0.000,279.399,0.000,56.560,0.000
'2009-11-23',37.141,0.000,36.462,0.000,278.130,0.000,54.508,0.000
'2009-11-24',36.175,0.000,35.895,0.000,276.941,0.000,53.660,0.000
'2009-11-25',35.253,0.000,34.624,0.000,275.396,0.000,51.760,0.000
'2009-11-26',34.050,0.000,33.489,0.000,274.205,0.000,50.063,0.000
'2009-11-27',33.652,0.000,33.812,0.000,274.102,0.000,50.546,0.000
'2009-11-28',33.830,0.000,33.847,0.000,274.047,0.000,50.599,0.000
'2009-11-29',33.314,0.000,32.792,0.000,273.239,0.000,49.022,0.000
'2009-11-30',32.200,0.000,31.621,0.000,272.309,0.000,47.270,0.000
'2009-12-01',31.438,0.000,31.259,0.000,271.744,0.000,46.730,0.000
'2009-12-02',30.686,0.000,30.126,0.000,269.757,0.000,45.035,0.000
'2009-12-03',29.572,0.000,29.029,0.000,267.956,0.000,43.396,0.000
'2009-12-04',28.549,0.000,28.080,0.000,266.423,0.000,41.977,0.000
'2009-12-05',27.593,0.000,27.117,0.000,264.265,0.000,40.538,0.000
'2009-12-06',27.108,0.000,27.100,0.000,263.760,0.000,40.512,0.000
'2009-12-07',26.622,0.000,26.155,0.000,262.693,0.000,39.100,0.000
'2009-12-08',26.002,0.000,25.852,0.000,261.837,0.000,38.647,0.000
'2009-12-09',25.389,0.000,24.936,0.000,260.318,0.000,37.277,0.000
'2009-12-10',24.482,0.000,24.037,0.000,258.972,0.000,35.933,0.000
'2009-12-11',23.677,0.000,23.325,0.000,258.023,0.000,34.869,0.000
'2009-12-12',22.918,0.000,22.520,0.000,256.878,0.000,33.666,0.000
'2009-12-13',22.108,0.000,21.705,0.000,255.571,0.000,32.447,0.000
'2009-12-14',21.313,0.000,20.931,0.000,253.952,0.000,31.289,0.000
'2009-12-15',20.596,0.000,20.268,0.000,252.120,0.000,30.299,0.000
'2009-12-16',19.917,0.000,19.573,0.000,250.643,0.000,29.260,0.000
'2009-12-17',19.280,0.000,18.993,0.000,249.274,0.000,28.393,0.000
'2009-12-18',40.081,40.408,20.317,0.000,257.156,7.043,30.372,0.000
'2009-12-19',88.447,93.994,21.592,0.000,268.054,16.384,32.279,0.000
'2009-12-20',98.657,59.262,22.821,0.000,267.424,10.330,34.116,0.000
'2009-12-21',81.002,55.938,24.006,0.000,269.382,9.750,35.887,0.000
'2009-12-22',66.905,28.993,25.147,0.000,268.541,5.054,37.593,0.000
'2009-12-23',44.718,9.247,26.247,0.000,267.666,1.612,39.237,0.000
'2009-12-24',30.905,0.000,26.412,0.000,266.626,0.000,39.483,0.000
'2009-12-25',53.992,53.526,27.466,0.000,274.023,9.330,41.059,0.000
'2009-12-26',91.135,72.585,28.481,0.000,277.780,12.652,42.577,0.000
'2009-12-27',107.627,84.590,29.459,0.000,281.205,14.744,44.039,0.000
'2009-12-28',97.315,50.529,30.402,0.000,280.465,8.807,45.449,0.000
'2009-12-29',68.811,25.634,31.311,0.000,279.259,4.468,46.807,0.000
'2009-12-30',47.403,5.875,32.186,0.000,277.911,1.024,48.116,0.000
'2009-12-31',34.930,0.000,31.865,0.000,276.445,0.000,47.635,0.000
'2010-01-01',31.448,0.000,31.041,0.000,274.689,0.000,46.404,0.000
'2010-01-02',30.575,0.000,30.120,0.000,273.057,0.000,45.027,0.000
'2010-01-03',29.595,0.000,29.081,0.000,270.938,0.000,43.473,0.000
'2010-01-04',28.548,0.000,28.026,0.000,268.853,0.000,41.897,0.000
'2010-01-05',27.615,0.000,27.213,0.000,266.914,0.000,40.681,0.000
'2010-01-06',26.730,0.000,26.256,0.000,265.091,0.000,39.251,0.000
'2010-01-07',25.776,0.000,25.305,0.000,263.700,0.000,37.829,0.000
'2010-01-08',24.854,0.000,24.413,0.000,262.125,0.000,36.496,0.000
'2010-01-09',23.970,0.000,23.537,0.000,260.469,0.000,35.186,0.000
'2010-01-10',23.409,0.000,23.284,0.000,259.804,0.000,34.808,0.000
'2010-01-11',23.034,0.000,22.789,0.000,259.104,0.000,34.068,0.000
'2010-01-12',22.372,0.000,21.964,0.000,257.894,0.000,32.834,0.000
'2010-01-13',21.750,0.000,21.541,0.000,256.741,0.000,32.202,0.000
'2010-01-14',21.242,0.000,20.950,0.000,255.137,0.000,31.319,0.000
'2010-01-15',20.587,0.000,20.231,0.000,253.061,0.000,30.244,0.000
'2010-01-16',19.859,0.000,19.495,0.000,251.477,0.000,29.143,0.000
'2010-01-17',19.150,0.000,18.813,0.000,250.061,0.000,28.123,0.000
'2010-01-18',18.527,0.000,18.248,0.000,248.821,0.000,27.279,0.000
'2010-01-19',17.920,0.000,17.599,0.000,247.116,0.000,26.309,0.000
'2010-01-20',17.306,0.000,17.019,0.000,245.709,0.000,25.442,0.000
'2010-01-21',16.790,0.000,16.566,0.000,243.960,0.000,24.765,0.000
'2010-01-22',16.609,0.000,16.650,0.000,242.642,0.000,24.891,0.000
'2010-01-23',16.986,0.000,17.315,0.000,242.601,0.000,25.885,0.000
'2010-01-24',17.922,0.000,18.516,0.000,243.818,0.000,27.679,0.000
'2010-01-25',18.580,0.000,18.644,0.000,243.776,0.000,27.871,0.000
'2010-01-26',18.375,0.000,18.111,0.000,242.525,0.000,27.074,0.000
'2010-01-27',18.452,0.000,18.785,0.000,242.940,0.000,28.082,0.000
'2010-01-28',24.670,10.314,20.116,0.000,245.576,1.798,30.072,0.000
'2010-01-29',25.490,0.000,20.652,0.000,244.372,0.000,30.874,0.000
'2010-01-30',20.278,0.000,19.912,0.000,242.524,0.000,29.767,0.000
'2010-01-31',19.549,0.000,19.194,0.000,241.105,0.000,28.694,0.000
'2010-02-01',18.854,0.000,18.521,0.000,239.101,0.000,27.688,0.000
'2010-02-02',18.190,0.000,17.865,0.000,237.654,0.000,26.707,0.000
'2010-02-03',17.544,0.000,17.230,0.000,236.119,0.000,25.757,0.000
'2010-02-04',16.914,0.000,16.606,0.000,234.485,0.000,24.824,0.000
'2010-02-05',16.386,0.000,16.171,0.000,233.034,0.000,24.174,0.000
'2010-02-06',17.120,0.452,17.597,0.000,234.855,0.079,26.306,0.000
'2010-02-07',17.608,0.000,17.177,0.000,234.505,0.000,25.678,0.000
'2010-02-08',16.893,0.000,16.615,0.000,233.362,0.000,24.839,0.000
