id,loc,scale
53,97.96904186210472,47.17079280182392
347,152.45872585899272,85.04209728297836
105,134.29676788798614,54.959425571655835
10,46.156993468253546,20.517209686292297
330,220.38957327154407,126.20714656137763
100,121.13891777546971,42.6071939580609
25,90.35995843088043,34.304727457523846
102,377.82773337760386,194.83787775426396
219,202.78977188998988,98.26282187605929
272,255.26898688638295,149.82836860491167
47,420.6327349644688,195.1421038880776
11,144.59301949792683,49.61604131383535
136,228.69664947035665,95.20275173420616
276,262.874810446309,134.62052300681904
615,292.2156474579988,131.53612488464756
15,197.8496368216446,72.08263448263082
159,291.4443021610763,126.5530445347093
368,466.36108939626564,245.86330700147877
543,512.4977815736397,220.13500381259237
252,460.81113525782115,216.96296975157324
443,751.6287290428528,359.7972870106372
383,466.1208167497454,214.3001121386667
250,572.99391214258,284.8180530588975
333,1527.205992681223,741.801457575478
337,627.8078161200392,306.46170975560125
212,1690.0753022914814,795.2797229239727
234,714.0207899927834,353.58832524932984
541,2695.964963727175,786.4440130740385
461,2632.422009100678,780.0326857218033
381,2994.2099917438236,920.8177164476381
253,3559.3940728413827,1176.2106863768404
177,5313.610914402543,2014.150520822916
132,3703.497579651309,1234.1021756918735
81,5461.756476274624,2027.645119363701
42,5527.955725382408,2061.4156524559617
1,5659.468752348295,2044.6063299555644
