name,lat,long
Cojutepeque,13.721,-88.926
Guadalupe,13.607,-88.86
Ilobasco,13.815,-88.862
Ilopango,13.698,-89.118
Jerusalem,13.653,-88.9
La_Cima,13.659,-89.215
Panchimalco,13.609,-89.181
Puente_Viejo,13.518,-88.988
San_Vicente,13.596,-88.839
Tepezontes,13.62,-89.01
Verapaz,13.657,-88.861
Zacatecoluca,13.508,-88.858
Melara,13.487,-89.207
San_Vicente_Hidro,13.649,-88.773
