name,lat,long
Cojutepeque,13.721,-88.926
Puente_Viejo,13.518,-88.988
Guadalupe,13.607,-88.86
San_Vicente,13.596,-88.839
Tepezontes,13.62,-89.01
Jerusalem,13.653,-88.9
Verapaz,13.657,-88.861
Ilobasco,13.815,-88.862
