id,mean,std,min,5%,25%,median,75%,95%,max,t_beg,t_end,nyr,q1.5,q2,q5,q10,q25,q50,q100,q200,q500,q1000
53,14.016458113590264,13.578824255226907,3.1860000000000004,4.035,6.595,9.266,16.054000000000002,39.513000000000005,187.81900000000002,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,90.0651291547672,101.2787046753007,128.87499909101143,147.14614722702032,170.23179133274223,187.3580409151832,187.3580409151832,204.35783295902934,221.29559561728357,243.64175722173013
347,10.265535851926977,30.581998902191238,3.3289999999999997,3.3289999999999997,3.3289999999999997,3.3289999999999997,7.292000000000001,34.119,1349.1170000000002,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,216.47945103724862,297.22932284028286,495.95248943660624,627.5245171966486,793.7661230621459,917.0936429701836,917.0936429701836,1039.5105318300455,1161.4807420256939,1322.3972740938793
105,14.929898022312372,14.76355617499366,2.251,4.412,7.476,10.444,16.36125,41.091100000000004,289.616,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,105.45154750254477,116.15535770047464,142.49713397433763,159.93768194121796,181.9738605313676,198.32155664284863,198.32155664284863,214.54854393235416,230.71632167100285,252.04663438243722
10,8.13489229208925,8.79071406197581,0.298,1.453,3.177,5.162999999999999,9.75975,25.557299999999994,184.642,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,48.166770870253686,58.02564838604475,82.28806905962998,98.35190268842564,118.64859906280635,133.70584789739758,133.70584789739758,148.65191637014323,163.5434491496294,183.18999897692578
330,18.214037119675456,37.42588205892651,0.039,6.327000000000001,6.327000000000001,6.327000000000001,14.013,64.54035,844.9010000000001,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,250.77686450870735,318.5319325732634,485.27525213642934,595.6738385022143,735.1627450363624,838.6435843122955,838.6435843122955,941.3603373144899,1043.7022941390437,1178.7230729903922
100,14.748054006085193,14.88650741486411,1.4340000000000002,3.5899,5.84,9.366,17.548,45.695299999999996,167.31099999999998,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,77.52461513742492,86.66557234487196,109.16121130286601,124.05528170319064,142.87397913741603,156.83476392639676,156.83476392639676,170.69246447193188,184.49960059595293,202.71549494676964
25,15.269790567951317,13.042817954381553,0.015,2.347,5.732,10.655,23.179000000000002,39.51044999999998,130.556,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,62.19728638766851,69.57209053415886,87.72127641265817,99.73761667699583,114.92029445568696,126.18367215382952,126.18367215382952,137.36388283907093,148.50329881354148,163.1996429864459
102,43.63133427991887,55.64263576476557,4.7410000000000005,8.491050000000003,12.387,21.781499999999998,54.67,140.42114999999995,691.2080000000001,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,347.34666253237657,402.999661239853,539.9601280094764,630.6398743344056,745.213974203301,830.2115866178433,830.2115866178433,914.5815900044639,998.643741420957,1109.5477880929643
219,28.95132129817445,47.69678567523912,0.35200000000000004,6.218999999999999,9.7475,14.0245,26.75925,102.00725,835.576,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,315.929835243378,387.7670266322628,564.5563370476002,681.6062434880298,829.4991105687989,939.2144878607946,939.2144878607946,1048.119744028982,1156.6276232110029,1299.7831657982977
272,32.999914705882354,44.75040435064187,4.402,8.799,12.970999999999998,19.18,34.696,98.83149999999988,813.363,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,245.7294707807255,308.054150243386,461.4334359731665,562.9838690982973,691.2931105568794,786.4802356329653,786.4802356329653,880.964513919093,975.1040349449515,1099.303257277534
47,35.75414558823529,35.534609376480766,0.135,8.129,14.026,22.8795,43.23175,107.62054999999995,319.232,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,202.3517519110007,222.69301197947036,272.75228171088986,305.8958740738733,347.77289088646285,378.839654214185,378.839654214185,409.67702543807127,440.4018762743344,480.9374827716342
11,17.426959837728194,17.58848477433865,0.009000000000000001,4.296,7.0329999999999995,10.675999999999998,20.935249999999996,53.56715,193.817,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,86.85266192729515,99.93461247869875,132.12892537089283,153.44436182512266,180.37647229116857,200.35625035198734,200.35625035198734,220.18850086784772,239.94838683294006,266.0178042625322
136,36.6597343306288,29.395379272227448,7.937,13.9956,20.21,27.049,42.056000000000004,93.45814999999995,534.143,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,167.86689900639928,197.20745110126376,269.41372575886356,317.22056245746285,377.6246273596102,422.43581333175007,422.43581333175007,466.91612054072135,511.234126580361,569.7033202354044
276,57.13874837728195,86.40578970098578,4.459,7.102,14.144,24.239,61.76025,198.26725,1070.428,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,527.4354113383179,614.6283566619815,829.2077462348013,971.2779733007701,1150.7840818194923,1283.9519675404017,1283.9519675404017,1416.136562496624,1547.8388380698384,1721.594982432753
615,49.192150304259634,88.51806007047786,4.3180000000000005,6.912999999999999,13.589,21.833000000000002,45.074,184.498,1886.935,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,576.0556267103484,699.4890104141531,1003.2551010049915,1204.3746845358066,1458.4898114846715,1647.006929173463,1647.006929173463,1834.1320660569313,2020.574414748654,2266.5496912853973
